"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABAT",78.1321758078307,-0.365374427765568,0.389867434827099,-0.937176063262649,0.348668000416389,0.501127094650087
"ABCA1",106.660558490156,-0.630936178845952,0.389684847799224,-1.61909343514179,0.105427161100182,0.22031661635916
"ABCA10",20.9159418602682,-0.380898163590765,0.489517862644702,-0.778108814115382,0.436504866980454,NA
"ABCA11P",19.693181303919,-0.688976374975698,0.481858734316391,-1.42983062443216,0.152765637290315,NA
"ABCA12",48.642977006384,-1.24846155666273,0.448628303611372,-2.78284171242174,0.00538850881059481,0.0308886498784589
"ABCA13",12.7087604032827,-0.0654326011581534,0.498259796576888,-0.131322257199325,0.895520385560777,NA
"ABCA17P",14.7777028381196,-0.13962541822223,0.495233441387393,-0.281938590073947,0.777990598706047,NA
"ABCA2",979.317031805965,0.988618868438983,0.314728189902962,3.141183091174,0.00168266803809601,0.0155523452476662
"ABCA3",184.190366676305,-0.215642553204291,0.421138535470188,-0.512046595222005,0.608618399444887,0.727005219853031
"ABCA5",137.365995509645,-1.05047664574741,0.429251360242767,-2.44722962590802,0.014395908975241,0.0569345306784856
"ABCA6",13.1802363968849,0.388023354685802,0.503177838839011,0.771145556769935,0.440620660187175,NA
"ABCA7",640.52215067638,0.947206193681629,0.304128477816751,3.11449358666227,0.00184260962367524,0.0163081302024814
"ABCA9",12.2393126157189,-0.170073951185245,0.503436246512707,-0.337826194207001,0.735494169076567,NA
"ABCB1",33.3482749958747,-0.904263085880491,0.471472933553019,-1.91795333629434,0.0551169283170851,NA
"ABCB10",561.641788854067,-0.976542507836531,0.330370553525231,-2.95590057108994,0.00311757575164694,0.0221452276221265
"ABCB6",34.5410833142741,-0.191383863533476,0.447327811429294,-0.427838061134563,0.668769024324301,NA
"ABCB7",232.549439958989,-1.06257612195668,0.335386012433812,-3.16821835903601,0.00153376275331431,0.0147377993503609
"ABCB8",440.040467144112,-0.174993120306921,0.313719422364255,-0.557801359533739,0.576980034239571,0.701884103525837
"ABCB9",258.663319691044,-0.227521371171693,0.322810101889792,-0.704814904613393,0.480925431893401,0.621529022184569
"ABCC1",834.385512426204,0.722030409866382,0.305881409468784,2.36049131302328,0.0182507457617796,0.0667196831930772
"ABCC10",403.345893401723,0.172886441152099,0.313918279336903,0.550737094753739,0.581813911854292,0.705960674171505
"ABCC2",1384.20189358391,-0.386412859434878,0.339428399742677,-1.1384222997481,0.254944186810555,0.404712440349073
"ABCC3",577.320406089929,0.152092202546576,0.363729311521618,0.418146675917639,0.67583988020818,0.779926213874331
"ABCC4",873.23215399616,-1.01690501854974,0.32262844684161,-3.15193848684081,0.00162190437408487,0.0152721378048021
"ABCC5",279.68311111192,-0.274656627100246,0.342893545448105,-0.800996783830724,0.423133507754721,0.571225774858419
"ABCC6",30.2686447216204,0.208958693687942,0.451484873424559,0.462825458808772,0.643489481102958,NA
"ABCC9",40.5037533577259,0.617232568896963,0.43099081127921,1.43212465960695,0.152108148311228,0.283825870213257
"ABCD1",229.629916127692,0.318941979927973,0.334485093887318,0.953531220842441,0.340320985298068,0.492057190665807
"ABCD3",995.435105068105,-1.25132985761827,0.354122396482821,-3.53360835136835,0.000409928026565971,0.00743560666884394
"ABCD4",245.977304871273,-0.14407587200874,0.336318028762719,-0.42839175924877,0.668365923358208,0.773259520482382
